channel_name,tvg_id,match_type,suggested_id,suggested_score
ESPN2 Argentina,,,,
ESPN Deportes,ESPN.Deportes.HD.us2,exact,,
ESPNews,ESPNEWS.HD.us2,exact,,
E! Entertainment Television,E!.Entertainment.Television.br,exact,,
E4 Channel,E4.ch,exact,,
ESPN 3 NL,ESPN.3.nl,exact,,
ERT 1 Greece,,,,
Eurosport 1 France,Eurosport.1..fr,exact,,
Eurosport 2 France,Eurosport.2.fr,exact,,
ESPN3 Argentina,,,,
ESPN 1 MX,,,,
ESPN 2 MX,,,,
ESPN 3 MX,,,,
ESPN 4 MX,,,,
FUSE TV USA,Fuse.HD.us2,exact,,
Fox Sports 1 USA,,,plex.tv.FOX.Sports.plex,0.909
Fox Sports 2 USA,,,plex.tv.FOX.Sports.plex,0.909
FOX Soccer Plus,Fox.Soccer.Plus.HD.us2,exact,,
Fox Cricket,FoxCricket.au,exact,,
FOX Deportes USA,Fox.Deportes.HD.us2,exact,,
FOX Sports 502 AU,,,FoxSports503.au,0.929
FOX Sports 503 AU,FoxSports503.au,exact,,
FOX Sports 504 AU,,,FoxSports503.au,0.929
FOX Sports 505 AU,FoxSports505.au,exact,,
FOX Sports 506 AU,FoxSports506.au,exact,,
FOX Sports 507 AU,,,FoxSports503.au,0.929
Fox Sports 1 MX,,,FOX.SPORTS.2.mx,0.917
Fox Sports 2 MX,FOX.SPORTS.2.mx,exact,,
Fox Sports 3 MX,FOX.SPORTS.3.mx,exact,,
Fox Sports Argentina,,,,
Fox Sports 2 Argentina,,,,
Fox Sports 3 Argentina,,,,
Fox Sports Premium MX,FOX.SPORTS.PREMIUM.mx,exact,,
FilmBox Premium Poland,FilmBox.Premium.HD.pl,exact,,
Fight Network,SK.Fight.(BIH).ba,exact,,
Fox Business,Fox.Business.it,exact,,
FOX HD Bulgaria,,,,
FOX USA,,,,
FX USA,FX.HD.us2,exact,,
FXX USA,FXX.HD.us2,exact,,
Freeform,Freeform.HD.us2,exact,,
Fox News,FOXNewsChannel.au,exact,,
FX Movie Channel,FX.Movie.Channel.HD.us2,exact,,
FYI,FYI.Channel.HD.us2,exact,,
Film4 UK,Film4.HD.uk,exact,,
Fashion TV,Fashion-TV.HD.at,exact,,
FETV - Family Entertainment Television,,,Family.Entertainment.Television.us2,0.925
FOXNY USA,,,,
Fox Weather Channel,Fox.Weather.us,exact,,
FanDuel Sports Network Arizona,,,FanDuel.Sports.Network.South-.Carolinas.us,0.870
FanDuel Sports Network Detroit,FanDuel.Sports.Network.Detroit.HD.us,exact,,
FanDuel Sports Network Florida,FanDuel.Sports.Network.Florida.us,exact,,
FanDuel Sports Network Great Lakes,FanDuel.Sports.Network.Great.Lakes.us,exact,,
FanDuel Sports Network Indiana,FanDuel.Sports.Indiana.us,exact,,
FanDuel Sports Network Kansas City,,,FanDuel.Sports.Midwest.-.Kansas.City.us,0.867
FanDuel Sports Network Midwest,,,FanDuel.Sports.Network.Midwest.St..Louis.us,0.830
FanDuel Sports Network New Orleans,FanDuel.Sports.New.Orleans.us,exact,,
FanDuel Sports Network North,FanDuel.Sports.Network.North.us,exact,,
FanDuel Sports Network Ohio,,,FanDuel.Sports.Network.North.us,0.872
FanDuel Sports Network Oklahoma,FanDuel.Sports.Network.Oklahoma.us,exact,,
FanDuel Sports Network SoCal,FanDuel.Sports.Network.SoCal.us,exact,,
FanDuel Sports Network South,FanDuel.Sports.Network.South.us,exact,,
FanDuel Sports Network Southeast,FanDuel.Sports.Network.Southeast.us,exact,,
FanDuel Sports Network Sun,Fanduel.Sports.Sun.HD.us,exact,,
FanDuel Sports Network West,FanDuel.Sports.Network.South.us,exact,,
FanDuel Sports Network Wisconsin,FanDuel.Sports.Network.Wisconsin.us,exact,,
France 2,France.2.fr,exact,,
France 3,France.3.fr,exact,,
France 4,France.4.fr,exact,,
France 5,France.5..fr,exact,,
GOL PLAY Spain,GOL.PLAY.es,exact,,
GOLF Channel USA,Golf.Channel.HD.us2,exact,,
Game Show Network,Game.Show.Network.ca2,exact,,
beIN SPORTS MAX AR,,,beIN.SPORTS.MAX.4.fr,0.914
Gold UK,U.and.Gold.uk,exact,,
Great American Family Channel (GAC),,,Great.American.Family.HD.us2,0.913
Galavisi贸n USA,,,,
Grit Channel,Grit.us2,exact,,
Globo SP,,,,
Globo RIO,,,,
